Field_Code,GPS_longit,GPS_latitu,Country,Treatment,Season,Aflatoxin,cluster,grid_10km,Time,Treat,mintempTERRA,maxtempTERRA,pdsi,precTERRA,ndvi,evi,soiltemp,vpd,maxtempCHELSA,mintempCHELSA,precCHELSA,humidity,sand,PH,silt,clay,CEC,soilbulk,orgcarb,dem,Latitudes,Longitudes
ICMF019,37.40136667,-1.7586,Kenya,unknown,2009,0,5,GID39989,1,1,13.925,26.625,-3.0225,238.2727661,0.388607593,0.240776465,21.92290649,0.7375,27.11833154,26.13651025,176.1446875,0.591445351,49.92038345,59,19.30334473,31.12267303,26,126.9783859,26.71827126,1487.840942,-1.239313638,37.39994945
ICMF020,37.39268333,-1.71645,Kenya,unknown,2009,0,5,GID39989,1,1,14.7,27.575,-2.9025,217.8592224,0.520322803,0.289733447,20.88973389,0.8075,27.08059717,26.10248682,174.0927539,0.592809563,47.71604919,58.28262329,20.71737671,31.00066566,27.28328705,125.4327621,28.11227036,1519.678467,-1.251121885,37.39087417
ICMF001,37.4683,-1.757833333,Kenya,unknown,2009,0,5,GID39990,1,1,15.5,28.55,-2.9525,216.9384003,0.541875684,0.322531982,22.14724121,0.8775,27.23897607,26.25387842,143.933291,0.583943748,49.43862915,59.1100502,20.1100502,29.56137085,26.1100502,131.1614838,26.27715111,1277.701782,-1.14593842,37.47170571
ICMF002,37.46931667,-1.755833333,Kenya,unknown,2009,0,5,GID39990,1,1,15.5,28.55,-2.9525,216.9384003,0.541875684,0.322531982,22.14724121,0.8775,27.23897607,26.25387842,143.933291,0.583943748,49.43862915,59.1100502,20.1100502,29.56137085,26.1100502,131.1614838,26.27715111,1277.701782,-1.14593842,37.47170571
ICMF003,37.48305,-1.760283333,Kenya,unknown,2009,0,5,GID39990,1,1,15.5,28.55,-2.9525,216.9384003,0.554883643,0.330741089,22.14724121,0.8775,27.23969629,26.25364648,140.8900586,0.583950233,49.43398285,59.17331314,19.78831673,30.27650261,26.17331314,129.8372955,26.71819115,1275.485596,-1.134267178,37.48067466
ICMF005,37.47285,-1.762116667,Kenya,unknown,2009,0,5,GID39990,1,1,15.5,28.55,-2.9525,216.9384003,0.541875684,0.322531982,22.14724121,0.8775,27.23897607,26.25387842,143.933291,0.583943748,49.43862915,59.1100502,20.1100502,29.56137085,26.1100502,131.1614838,26.27715111,1277.701782,-1.14593842,37.47170571
ICMF007,37.47155,-1.76415,Kenya,unknown,2009,0,5,GID39990,1,1,15.5,28.55,-2.9525,216.9384003,0.520990527,0.30077041,22.14724121,0.8775,27.24569482,26.25931299,146.1076172,0.5825,49.11249542,59.38960266,20.1008606,30,26.38960266,131.1124878,26,1262.841919,-1.14591035,37.47172728
ICMF008,37.48208333,-1.7467,Kenya,unknown,2009,0,3,GID39990,1,1,15.08697052,28.15762024,-3.026845398,230.9432678,0.574780908,0.346514819,22.14724121,0.844457626,27.18984033,26.20456689,140.6044922,0.587763672,47.38492584,58.55381012,19.6173954,31.27498436,26.44618988,126.8970184,27.44618988,1333.309814,-1.13429516,37.48065315
ICMF010,37.46835,-1.745666667,Kenya,unknown,2009,0,3,GID39990,1,1,15.08816986,28.1587616,-3.026629639,230.9026031,0.546334277,0.325809131,22.14724121,0.844553528,27.22154199,26.23804102,142.6821777,0.585296898,47.89741135,58.27970505,19.55688477,30.38229179,26.27718163,129.6785278,27.10511208,1321.758301,-1.145966347,37.47168426
ICMF011,37.46618333,-1.743916667,Kenya,unknown,2009,0,3,GID39990,1,1,15.02972565,28.08986206,-3.024664917,233.8922119,0.489549805,0.295635767,22.14724121,0.839481659,27.23332178,26.24588037,144.343418,0.585,50.40182495,58.89323425,19,29.82919312,26.17080688,131.3374786,25.66221428,1286.655762,-1.157665405,37.46269357
