Grid,Count_grid, Aflatoxin,cluster,Time,Treat, mintempTERRA, maxtempTERRA, pdsi, precTERRA, ndvi, evi, soiltemp, vpd, maxtempCHELSA, mintempCHELSA, precCHELSA, humidity, sand, PH, silt, clay, CEC, soilbulk, orgcarb, dem, Latitudes, Longitudes
GID18845,3,0.316333333,3,4,2,18.11428528,27.38571472,-2.758571472,959.645813,0.622778906,0.389627319,22.00170288,0.745714264,27.33599674,26.35952865,726.4629167,0.618035011,53.7670517,58.04705556,14.00539303,32.08154805,27.92384593,131.7200012,23.76933988,999.152161,-4.016671112,35.26560842
GID18846,1,0,3,4,2,17.55308228,26.94795837,-2.751298523,936.9234009,0.615407959,0.374298584,22.63387451,0.716567001,27.27872949,26.32349268,806.5921875,0.643036423,51.71310043,58.18679047,14,35.0569458,27.83260345,132.7938232,24.83260345,1035.698853,-3.936988655,35.3268437
GID19065,6,0.587166667,5,4,2,18.46371282,27.7050471,-2.723323975,907.4829916,0.682708097,0.419648327,24.58840332,0.766266581,27.44645858,26.45795842,630.2274024,0.6076463,54.01141612,58.4038353,14.20742226,28.37276427,27.22355238,130.4134585,23.9853665,858.610728,-4.024892289,35.25928995
GID19066,3,0.304666667,5,4,2,18.34779307,27.61998698,-2.703451437,921.5784912,0.679034994,0.419889877,23.4739624,0.72648969,27.43690007,26.44570785,669.091276,0.617311312,61.27730687,56.85425186,11.07413864,23.72990227,25.69677734,137.6323344,22.16391309,854.7279053,-3.898569199,35.35636743
GID19286,2,0,5,4,2,18.89576416,28.08936768,-2.702541504,926.6970825,0.651589941,0.381984619,24.64724121,0.770705948,27.52154932,26.52044336,596.7807422,0.607993355,60.53966904,59.08194351,13.91805553,23.57445526,26,140,21.26365089,752.5895386,-3.9029089,35.35303284
GID19287,3,0.625333333,3,4,2,18.68571472,27.9,-2.762857056,958.1310628,0.682352832,0.419070296,24.62479045,0.744285736,27.4948794,26.50020329,634.6401693,0.612612686,65.17446899,56.88491694,12.05880642,22.20995522,25.69431241,139.2831268,21.62319756,772.5876465,-3.844151219,35.39818698
GID19507,1,0,3,4,2,17.98571472,27.27142944,-2.831428528,980.8405151,0.693179443,0.418902686,23.73412476,0.687142868,27.38025293,26.40372949,728.1150781,0.612402267,63.30937195,54.86537552,10,24,25.22594261,138.3605652,22.46468735,910.6255493,-3.856702813,35.38853966
GID19725,1,0,3,4,2,18.3,27.57142944,-2.674285583,953.3769531,0.676740723,0.405311914,23.90462646,0.711428604,27.44481836,26.49250879,808.6409375,0.608515282,58.88537598,56.79615784,10.79615974,24.43011093,26.13048553,133.1814117,22.68630791,789.3710327,-4.071059768,35.22381121
GID23456,2,0.488,2,4,2,17.27365417,29.05714417,-1.850889893,536.7910767,0.314945215,0.241507813,23.37151489,0.996116333,27.51581934,26.48135645,758.0485156,0.556967583,63.20522308,64.57600403,14.82905388,24.68488312,24.38400078,147.9173889,17.30138779,1044.725952,-5.065452728,34.45964078
GID23457,14,0.3885,2,4,2,17.24854202,28.95946939,-1.86614951,548.7158029,0.389647088,0.279082284,23.15457415,0.985468532,27.50100314,26.48692861,741.3213002,0.560209095,62.67028999,63.61653573,13.67401334,23.77649471,24.46991621,148.6760864,19.00830991,1040.862348,-5.000425118,34.50961424
GID23675,1,0,2,4,2,17.36479187,29.28571472,-1.70578186,536.7946777,0.449719287,0.284282397,23.643396,1.028638916,27.56723535,26.47003076,681.0630469,0.556552162,48.79955673,65.07099915,15.34244537,33.31813049,28,149.6108704,21.61086655,1026.413452,-5.290391359,34.28678133
GID23677,3,0.772333333,2,4,2,17.38246765,29.06399739,-1.899368541,575.9385376,0.494846224,0.332438102,23.33343913,0.995656535,27.50979964,26.48641666,764.321875,0.560872421,52.58087667,64.10839208,14.96811358,28.03617287,26.69286919,145.2455699,22.07419014,1024.901367,-4.990927397,34.51691251
GID23868,2,0.2595,5,4,2,15.75714264,26.28571472,-0.895714264,903.1032104,0.490126074,0.313711523,18.66790161,0.974285736,26.96740381,26.10837549,903.5083594,0.614856071,58.6953125,64.69441986,17.69441605,24.30468941,25,138.6006622,22.09286499,1605.171509,-8.401244797,31.89615506
GID24083,2,0,3,4,2,14.77436371,25.22540055,-2.218717499,924.3983459,0.617795557,0.37568468,18.56929932,0.841183434,26.93946924,26.00757349,1080.801993,0.625553494,57.89328194,57.80666733,16.82728577,27.08559895,25.50992298,135.9963837,23.33255005,1671.53241,-9.009584404,31.4286594
GID24084,4,0.032,3,4,2,14.40126076,24.81455688,-2.255317803,921.8228912,0.610682568,0.401166199,17.2578598,0.813783073,26.90698999,25.97231348,1038.029707,0.622679215,59.20998192,59.72465801,17.29977894,25.34841109,24.91098308,137.3936806,22.61593628,1749.628235,-8.891377265,31.51949948
GID24086,1,0.065,5,4,2,14.73942566,25.19739838,-2.268460846,845.4700317,0.498375195,0.327511646,18.16109619,0.862763062,26.92210596,26.02499414,993.4632031,0.636795616,56.14891434,62.05822754,18,25.96754074,25,137.1106415,22.9093132,1688.27356,-8.649028584,31.70573973
GID24087,4,0.446,5,4,2,14.66428604,25.08928604,-2.21785717,872.3234863,0.497056995,0.304558924,18.03234253,0.861428585,26.85254053,25.98220117,1024.883828,0.631360035,59.7366848,62.22926998,17.48061562,25.52335501,25.74233103,135.7111588,23.24895239,1779.895234,-8.527942423,31.79879077
GID24088,1,0.064,5,4,2,13.7868866,24.09692383,-2.132080231,896.770813,0.52792832,0.317174365,17.07116089,0.767761993,26.75021631,25.9015249,1174.060625,0.636774826,59.66336441,60.8259964,17.00717545,27.00717545,26,135.7497559,24.1740036,1898.319824,-8.495285839,31.82388642
GID24304,3,2.042666667,3,4,2,13.82857157,24.23333283,-2.374285736,933.9221598,0.603448373,0.393726652,16.69856161,0.764285685,26.8634707,25.92819401,1069.313854,0.624551303,61.55684408,58.91039276,16.48784033,25.25561142,25.17609406,136.601298,23.43160184,1821.628744,-8.896817104,31.51531906
GID24308,2,1.6255,5,4,2,12.5,22.55714264,-2.025714264,922.0287476,0.565595288,0.332839283,15.83443604,0.658571396,26.60731348,25.80334253,1270.518594,0.637859574,58.26446533,59.91718483,17.44599629,29.10112286,25.47170448,128.915329,25.64266205,2084.371826,-8.465513801,31.84676634
GID24357,1,7.4,4,9,3,22.67964325,29.49142456,1.373211517,1491.815063,0.545815723,0.328047095,26.64241943,0.921785126,27.54879297,26.76512598,851.2210938,0.605427246,49.36151123,56.15784454,20.61641884,30.75219536,26.93211174,128.0899506,26.6377964,277.4358215,-2.622449046,36.33703815
GID24358,2,92.25,4,9,3,22.65816651,29.40579377,1.258863335,1513.411377,0.58179668,0.344853064,26.64241943,0.915716477,27.54911035,26.75908838,878.6023829,0.607570438,54.98299217,58.16565705,18.57490254,28.87809849,26.622818,130.6656495,25.41621495,301.4867249,-2.581196016,36.36873994
GID24361,18,18.16666667,4,6,2,23.60847702,29.59297095,-2.974485709,1480.062466,0.557151115,0.339565081,27.21944411,0.915306295,27.6817921,26.86206065,1026.292817,0.615776117,44.6176512,60.69519106,30.82376766,24.78325473,27.27374034,133.4797872,23.87620354,260.2027902,-2.20075039,36.66110479
